Computation and Language 
Number,Date,Title,Authors,Url,Primary subject
1,"Mon, 3 Oct 2022",Augmenting Operations Research with Auto-Formulation of Optimization  Models from Problem Descriptions,"Rindranirina Ramamonjison, Haley Li, Timothy T. Yu, Shiqi He, Vishnu Rengan, Amin Banitalebi-Dehkordi, Zirui Zhou, Yong Zhang",https://arxiv.org/abs/2209.15565,Computation and Language (cs.CL)
2,"Mon, 3 Oct 2022",Out-of-Distribution Detection and Selective Generation for Conditional  Language Models,"Jie Ren, Jiaming Luo, Yao Zhao, Kundan Krishna, Mohammad Saleh, Balaji Lakshminarayanan, Peter J. Liu",https://arxiv.org/abs/2209.15558,Computation and Language (cs.CL)
3,"Mon, 3 Oct 2022",On The Robustness of Self-Supervised Representations for Spoken Language  Modeling,"Itai Gat, Felix Kreuk, Ann Lee, Jade Copet, Gabriel Synnaeve, Emmanuel Dupoux, Yossi Adi",https://arxiv.org/abs/2209.15483,Computation and Language (cs.CL)
4,"Mon, 3 Oct 2022",Zero-Shot Retrieval with Search Agents and Hybrid Environments,"Michelle Chen Huebscher, Christian Buck, Massimiliano Ciaramita, Sascha Rothe",https://arxiv.org/abs/2209.15469,Computation and Language (cs.CL)
5,"Mon, 3 Oct 2022",PART: Pre-trained Authorship Representation Transformer,"Javier Huertas-Tato, Alvaro Huertas-Garcia, Alejandro Martin, David Camacho",https://arxiv.org/abs/2209.15373,Computation and Language (cs.CL)
6,"Mon, 3 Oct 2022",SpeechLM: Enhanced Speech Pre-Training with Unpaired Textual Data,"Ziqiang Zhang, Sanyuan Chen, Long Zhou, Yu Wu, Shuo Ren, Shujie Liu, Zhuoyuan Yao, Xun Gong, Lirong Dai, Jinyu Li, Furu Wei",https://arxiv.org/abs/2209.15329,Computation and Language (cs.CL)
7,"Mon, 3 Oct 2022",Medical Question Understanding and Answering with Knowledge Grounding  and Semantic Self-Supervision,"Khalil Mrini, Harpreet Singh, Franck Dernoncourt, Seunghyun Yoon, Trung Bui, Walter Chang, Emilia Farcas, Ndapa Nakashole",https://arxiv.org/abs/2209.15301,Computation and Language (cs.CL)
8,"Mon, 3 Oct 2022",QUAK: A Synthetic Quality Estimation Dataset for Korean-English Neural  Machine Translation,"Sugyeong Eo, Chanjun Park, Hyeonseok Moon, Jaehyung Seo, Gyeongmin Kim, Jungseob Lee, Heuiseok Lim",https://arxiv.org/abs/2209.15285,Computation and Language (cs.CL)
9,"Mon, 3 Oct 2022",Language-Family Adapters for Multilingual Neural Machine Translation,"Alexandra Chronopoulou, Dario Stojanovski, Alexander Fraser",https://arxiv.org/abs/2209.15236,Computation and Language (cs.CL)
10,"Mon, 3 Oct 2022",What Makes Pre-trained Language Models Better Zero/Few-shot Learners?,"Jinghui Lu, Rui Zhao, Brian Mac Namee, Dongsheng Zhu, Weidong Han, Fei Tan",https://arxiv.org/abs/2209.15206,Computation and Language (cs.CL)
11,"Mon, 3 Oct 2022",Synonym Detection Using Syntactic Dependency And Neural Embeddings,"Dongqiang Yang, Pikun Wang, Xiaodong Sun, Ning Li",https://arxiv.org/abs/2209.15202,Computation and Language (cs.CL)
12,"Mon, 3 Oct 2022",Evaluation of taxonomic and neural embedding methods for calculating  semantic similarity,"Dongqiang Yang, Yanqin Yin",https://arxiv.org/abs/2209.15197,Computation and Language (cs.CL)
13,"Mon, 3 Oct 2022",Learning by Distilling Context,"Charlie Snell, Dan Klein, Ruiqi Zhong",https://arxiv.org/abs/2209.15189,Computation and Language (cs.CL)
14,"Mon, 3 Oct 2022",Adaptive Sparse and Monotonic Attention for Transformer-based Automatic  Speech Recognition,"Chendong Zhao, Jianzong Wang, Wen qi Wei, Xiaoyang Qu, Haoqian Wang, Jing Xiao",https://arxiv.org/abs/2209.15176,Computation and Language (cs.CL)
15,"Mon, 3 Oct 2022",Depth-Wise Attention (DWAtt): A Layer Fusion Method for Data-Efficient  Classification,"Muhammad ElNokrashy, Badr AlKhamissi, Mona Diab",https://arxiv.org/abs/2209.15168,Computation and Language (cs.CL)
16,"Mon, 3 Oct 2022",Blur the Linguistic Boundary: Interpreting Chinese Buddhist Sutra in  English via Neural Machine Translation,"Denghao Li, Yuqiao Zeng, Jianzong Wang, Lingwei Kong, Zhangcheng Huang, Ning Cheng, Xiaoyang Qu, Jing Xiao",https://arxiv.org/abs/2209.15164,Computation and Language (cs.CL)
