Computer Vision and Pattern Recognition 
Number,Date,Title,Authors,Url,Primary subject
1,"Mon, 3 Oct 2022",F-VLM: Open-Vocabulary Object Detection upon Frozen Vision and Language  Models,"Weicheng Kuo, Yin Cui, Xiuye Gu, AJ Piergiovanni, Anelia Angelova",https://arxiv.org/abs/2209.15639,Computer Vision and Pattern Recognition (cs.CV)
2,"Mon, 3 Oct 2022",Improving 3D-aware Image Synthesis with A Geometry-aware Discriminator,"Zifan Shi, Yinghao Xu, Yujun Shen, Deli Zhao, Qifeng Chen, Dit-Yan Yeung",https://arxiv.org/abs/2209.15637,Computer Vision and Pattern Recognition (cs.CV)
3,"Mon, 3 Oct 2022",ExtrudeNet: Unsupervised Inverse Sketch-and-Extrude for Shape Parsing,"Daxuan Ren, Jianmin Zheng, Jianfei Cai, Jiatong Li, Junzhe Zhang",https://arxiv.org/abs/2209.15632,Computer Vision and Pattern Recognition (cs.CV)
4,"Mon, 3 Oct 2022",Anomaly localization for copy detection patterns through print  estimations,"Brian Pulfer, Yury Belousov, Joakim Tutt, Roman Chaban, Olga Taran, Taras Holotyak, Slava Voloshynovskiy",https://arxiv.org/abs/2209.15625,Computer Vision and Pattern Recognition (cs.CV)
5,"Mon, 3 Oct 2022",Bias Mimicking: A Simple Sampling Approach for Bias Mitigation,"Maan Qraitem, Kate Saenko, Bryan A. Plummer",https://arxiv.org/abs/2209.15605,Computer Vision and Pattern Recognition (cs.CV)
6,"Mon, 3 Oct 2022",Where Should I Spend My FLOPS? Efficiency Evaluations of Visual  Pre-training Methods,"Skanda Koppula, Yazhe Li, Evan Shelhamer, Andrew Jaegle, Nikhil Parthasarathy, Relja Arandjelovic, João Carreira, Olivier Hénaff",https://arxiv.org/abs/2209.15589,Computer Vision and Pattern Recognition (cs.CV)
7,"Mon, 3 Oct 2022",Towards a Unified View of Affinity-Based Knowledge Distillation,"Vladimir Li, Atsuto Maki",https://arxiv.org/abs/2209.15555,Computer Vision and Pattern Recognition (cs.CV)
8,"Mon, 3 Oct 2022","The More Secure, The Less Equally Usable: Gender and Ethnicity  (Un)fairness of Deep Face Recognition along Security Thresholds","Andrea Atzori, Gianni Fenu, Mirko Marras",https://arxiv.org/abs/2209.15550,Computer Vision and Pattern Recognition (cs.CV)
9,"Mon, 3 Oct 2022",Slimmable Networks for Contrastive Self-supervised Learning,"Shuai Zhao, Xiaohan Wang, Linchao Zhu, Yi Yang",https://arxiv.org/abs/2209.15525,Computer Vision and Pattern Recognition (cs.CV)
10,"Mon, 3 Oct 2022",Medical Image Understanding with Pretrained Vision Language Models: A  Comprehensive Study,"Ziyuan Qin, Huahui Yi, Qicheng Lao, Kang Li",https://arxiv.org/abs/2209.15517,Computer Vision and Pattern Recognition (cs.CV)
11,"Mon, 3 Oct 2022",Sphere-Guided Training of Neural Implicit Surfaces,"Andreea Dogaru, Andrei Timotei Ardelean, Savva Ignatyev, Evgeny Burnaev, Egor Zakharov",https://arxiv.org/abs/2209.15511,Computer Vision and Pattern Recognition (cs.CV)
12,"Mon, 3 Oct 2022",A Closer Look at Temporal Ordering in the Segmentation of Instructional  Videos,"Anil Batra, Shreyank Gowda, Laura Sevilla-Lara, Frank Keller",https://arxiv.org/abs/2209.15501,Computer Vision and Pattern Recognition (cs.CV)
13,"Mon, 3 Oct 2022",Learning Second Order Local Anomaly for General Face Forgery Detection,"Jianwei Fei, Yunshu Dai, Peipeng Yu, Tianrun Shen, Zhihua Xia, Jian Weng",https://arxiv.org/abs/2209.15490,Computer Vision and Pattern Recognition (cs.CV)
14,"Mon, 3 Oct 2022",Impact of Face Image Quality Estimation on Presentation Attack Detection,"Carlos Aravena, Diego Pasmino, Juan E. Tapia, Christoph Busch",https://arxiv.org/abs/2209.15489,Computer Vision and Pattern Recognition (cs.CV)
15,"Mon, 3 Oct 2022",Point Cloud Quality Assessment using 3D Saliency Maps,"Zhengyu Wang, Yujie Zhang, Qi Yang, Yiling Xu, Jun Sun, Shan Liu",https://arxiv.org/abs/2209.15475,Computer Vision and Pattern Recognition (cs.CV)
